,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
129756,250497,0,Cash loans,F,Y,Y,0,274500.0,450000.0,38628.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.026392,-15653,-147,-500.0,-4246,5.0,1,1,0,1,0,0,Managers,1.0,2,2,FRIDAY,19,0,0,0,0,0,0,Construction,,0.3593585102084447,0.2164029605152194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-90.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,4.0
74944,186913,0,Revolving loans,F,N,Y,1,67500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.026392,-16455,-3897,-4605.0,-14,,1,1,0,1,0,0,Core staff,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Kindergarten,,0.6398441090581359,0.8425892767430772,0.3715,0.815,0.993,,,0.16,0.1638,0.6667,,0.343,,0.6093,,0.4613,0.1155,0.8457,0.993,,,0.0,0.0345,0.6667,,0.3508,,0.1864,,0.4883,0.3175,0.815,0.993,,,0.06,0.0862,0.6667,,0.349,,0.425,,0.4709,,block of flats,0.1515,Monolithic,No,0.0,0.0,0.0,0.0,-1884.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
144638,267719,0,Cash loans,F,Y,N,0,202500.0,315000.0,22531.5,315000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.005313,-11947,-4734,-740.0,-4335,7.0,1,1,0,1,0,0,Core staff,2.0,2,2,SUNDAY,18,0,0,0,0,0,0,Security Ministries,,0.7001266803962845,0.6109913280868294,0.1515,0.0748,0.996,0.9456,0.0207,0.12,0.1034,0.375,0.4167,0.0593,0.1236,0.0793,0.0,0.0,0.1544,0.0776,0.996,0.9477,0.0209,0.1208,0.1034,0.375,0.4167,0.0607,0.135,0.0826,0.0,0.0,0.153,0.0748,0.996,0.9463,0.0208,0.12,0.1034,0.375,0.4167,0.0604,0.1257,0.0807,0.0,0.0,reg oper account,block of flats,0.1451,Panel,No,0.0,0.0,0.0,0.0,-1872.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
287645,433200,0,Cash loans,F,N,Y,0,270000.0,635962.5,26865.0,549000.0,Unaccompanied,Working,Incomplete higher,Civil marriage,House / apartment,0.018634,-11504,-845,-5764.0,-3758,,1,1,0,1,1,0,Laborers,2.0,2,2,MONDAY,9,0,0,0,0,0,0,Construction,0.4375393319702399,0.7431281055034443,0.3622772470384314,0.1237,0.1505,0.9886,0.8436,0.1932,0.0,0.2759,0.1667,0.0417,0.0271,0.1009,0.1203,0.0,0.0506,0.1261,0.1562,0.9886,0.8497,0.195,0.0,0.2759,0.1667,0.0417,0.0277,0.1102,0.1254,0.0,0.0536,0.1249,0.1505,0.9886,0.8457,0.1945,0.0,0.2759,0.1667,0.0417,0.0275,0.1026,0.1225,0.0,0.0517,reg oper account,block of flats,0.1057,Panel,No,12.0,0.0,10.0,0.0,-802.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
225868,361618,0,Cash loans,F,Y,Y,0,247500.0,1223010.0,51948.0,1125000.0,Family,State servant,Secondary / secondary special,Married,House / apartment,0.020713,-15622,-8621,-3860.0,-3982,17.0,1,1,0,1,0,0,Medicine staff,2.0,3,3,MONDAY,12,0,0,0,0,0,0,Medicine,0.5032557137441042,0.4332635334210207,0.6925590674998008,0.3196,0.2116,0.9841,0.7824,0.0816,0.36,0.3103,0.3333,0.375,0.2323,0.2606,0.3548,0.0,0.018,0.3256,0.2196,0.9841,0.7909,0.0823,0.3625,0.3103,0.3333,0.375,0.2376,0.2847,0.3697,0.0,0.0191,0.3227,0.2116,0.9841,0.7853,0.0821,0.36,0.3103,0.3333,0.375,0.2363,0.2651,0.3612,0.0,0.0184,reg oper account,block of flats,0.3276,Panel,No,1.0,0.0,1.0,0.0,-2630.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
209634,342959,0,Cash loans,F,N,Y,0,135000.0,124722.0,13225.5,117000.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,House / apartment,0.04622,-8185,-1013,-2481.0,-655,,1,1,0,1,0,0,Sales staff,1.0,1,1,SUNDAY,15,0,0,0,1,0,1,Business Entity Type 3,0.1586137096880122,0.5843616363705926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015,,No,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
299120,446524,0,Cash loans,M,Y,Y,1,90000.0,679500.0,19998.0,679500.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.009334,-11667,-241,-808.0,-842,1.0,1,1,1,1,1,0,Security staff,3.0,2,2,FRIDAY,12,0,0,0,0,0,0,School,,0.7480928335748382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-774.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
187600,317473,0,Cash loans,M,Y,Y,0,67500.0,215865.0,22248.0,202500.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.031329,-23013,365243,-10445.0,-4515,11.0,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,XNA,0.7037838356971845,0.2940919879709977,0.7032033049040319,0.0082,0.0095,0.9836,0.7756,0.002,0.0,0.069,0.0417,0.0833,0.0,0.0067,0.0098,0.0,0.0051,0.0084,0.0099,0.9836,0.7844,0.0021,0.0,0.069,0.0417,0.0833,0.0,0.0073,0.0102,0.0,0.0054,0.0083,0.0095,0.9836,0.7786,0.0021,0.0,0.069,0.0417,0.0833,0.0,0.0068,0.01,0.0,0.0052,reg oper account,block of flats,0.0041,Wooden,No,5.0,2.0,5.0,1.0,-2699.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,3.0
20273,123654,0,Cash loans,F,N,Y,2,90000.0,278613.0,29691.0,252000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-11988,-1274,-2843.0,-4682,,1,1,0,1,0,0,Core staff,4.0,3,3,TUESDAY,8,0,0,0,0,0,0,Government,0.5187691186956176,0.243036970446566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
181707,310611,0,Cash loans,M,N,Y,0,360000.0,657000.0,27837.0,657000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.018634,-19078,-3479,-4701.0,-2616,,1,1,0,1,0,1,High skill tech staff,2.0,2,2,TUESDAY,18,0,0,0,0,0,0,Business Entity Type 3,,0.2413793382089366,0.3474182272002641,0.0124,0.0,0.9702,0.5920000000000001,,0.0,0.069,0.0417,0.0417,0.0154,,0.011,,0.0,0.0126,0.0,0.9702,0.608,,0.0,0.069,0.0417,0.0417,0.0157,,0.0114,,0.0,0.0125,0.0,0.9702,0.5975,,0.0,0.069,0.0417,0.0417,0.0157,,0.0112,,0.0,reg oper account,block of flats,0.011,"Stone, brick",No,6.0,0.0,6.0,0.0,-2519.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
